epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7351.96,1.11913,2.44715,1.43905,0.64057,0.64256,0.66589,0.43404,1.06262,1.45972,1.47987,0.0019878,0.000662602,0.0019878,0.000662602,0.0019878,0.000662602,0.0019878,0.000662602
2,12342,0.8259,0.96367,1.21108,0.77056,0.75826,0.80969,0.57069,0.98349,0.988,1.41045,0.00394833,0.00131611,0.00394833,0.00131611,0.00394833,0.00131611,0.00394833,0.00131611
3,16501.9,0.74199,0.75146,1.1492,0.80315,0.70811,0.75458,0.52334,1.01467,0.98954,1.48929,0.00586925,0.00195642,0.00586925,0.00195642,0.00586925,0.00195642,0.00586925,0.00195642
4,20548.8,0.71606,0.67015,1.12715,0.76959,0.77273,0.81475,0.58947,0.9617,0.85611,1.42981,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,26972.5,0.69206,0.61327,1.11451,0.84589,0.7314,0.80046,0.57544,1.01884,0.90914,1.4814,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,31004.8,0.65952,0.57208,1.0973,0.81288,0.78986,0.82407,0.62149,0.89852,0.83876,1.37017,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,34905.4,0.63022,0.54792,1.07504,0.855,0.79339,0.83728,0.61832,0.93428,0.79264,1.44578,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,38796.1,0.61746,0.54629,1.0737,0.83065,0.77479,0.83401,0.63036,0.92828,0.83345,1.40482,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,42678.3,0.59287,0.50257,1.05515,0.82652,0.79959,0.8415,0.63531,0.92715,0.81159,1.40931,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
